date,tone,calm,tone_Z10,tone_Z1,DJI,DJI_volume_k,DJI_forward_return,GSPC,GSPC_volume_k,GSPC_forward_return
2007-07-19,-0.036503,-0.010442,-2.012670,-0.707107,14000.410156,265390,-0.010666,1553.079956,3251450,-0.012221
2007-07-20,-0.012146,-0.005908,0.339044,1.064452,13851.080078,377650,0.006667,1534.099976,3745780,0.004869
2007-07-21,-0.026988,-0.008666,-1.203522,-0.776665,NA,NA,NA,NA,NA,NA
2007-07-22,-0.023677,-0.006494,-0.880509,-0.389293,NA,NA,NA,NA,NA,NA
2007-07-23,-0.009548,-0.004512,0.563194,0.260835,13943.419922,237450,-0.016242,1541.569946,3102700,-0.019804
2007-07-24,-0.003517,-0.005902,0.997034,1.077498,13716.950195,296990,0.004966,1511.040039,4115830,0.004666
2007-07-25,-0.012999,-0.006627,0.149227,-0.937215,13785.070313,266860,-0.022597,1518.089966,4283200,-0.023338
2007-07-26,-0.009084,-0.006178,0.589142,0.804067,13473.570313,426880,-0.015445,1482.660034,4472550,-0.015992
2007-07-27,-0.024507,-0.007306,-0.750897,-1.109586,13265.469727,337120,0.006999,1458.949951,4784650,0.010254
2007-07-28,-0.013482,-0.003805,0.234516,0.345365,NA,NA,NA,NA,NA,NA
2007-07-29,-0.010216,-0.004990,0.449568,-0.197896,NA,NA,NA,NA,NA,NA
2007-07-30,-0.004133,-0.005049,0.956476,0.340865,13358.30957,295450,-0.010953,1473.910034,4128780,-0.012647
2007-07-31,-0.002291,-0.004664,1.113612,0.674687,13211.990234,319890,0.011382,1455.27002,4524520,0.007243
2007-08-01,-0.019045,-0.006067,-0.652412,-0.705438,13362.370117,355960,0.007556,1465.810059,5256780,0.004359
2007-08-02,-0.016632,-0.006199,-0.443598,-0.475307,13463.330078,264830,-0.020903,1472.199951,4368850,-0.026586
2007-08-03,0.003128,-0.004539,1.385430,1.097217,13181.910156,301800,0.021762,1433.060059,4272110,0.024151
2007-08-04,-0.025861,-0.005806,-1.234370,-0.356846,NA,NA,NA,NA,NA,NA
2007-08-05,-0.033970,-0.007923,-1.972568,-1.154158,NA,NA,NA,NA,NA,NA
2007-08-06,-0.026143,-0.007565,-1.249705,-0.173478,13468.780273,311810,0.002637,1467.670044,5067200,0.006159
2007-08-07,-0.012724,-0.006749,-0.077513,0.002099,13504.299805,273340,0.011371,1476.709961,4909390,0.014072
2007-08-08,0.000611,-0.002984,1.194151,1.049561,13657.860352,288040,-0.028349,1497.48999,5499560,-0.029650
2007-08-09,-0.007140,-0.003866,0.502961,-0.443397,13270.679688,362490,-0.002346,1453.089966,5889600,0.000379
2007-08-10,-0.008400,-0.006284,0.465971,-0.634754,13239.540039,338560,-0.000227,1453.640015,5345780,-0.000495
2007-08-11,0.010889,-0.003245,2.315526,1.051243,NA,NA,NA,NA,NA,NA
2007-08-12,-0.022121,-0.006872,-0.722133,-0.729854,NA,NA,NA,NA,NA,NA
2007-08-13,-0.016474,-0.005656,-0.212451,0.087457,13236.530273,215260,-0.015685,1452.920044,3696280,-0.018157
2007-08-14,-0.012140,-0.003838,0.228981,1.094060,13028.919922,269120,-0.012852,1426.540039,3814630,-0.013908
2007-08-15,-0.015060,-0.004139,-0.080636,-0.993829,12861.469727,272760,-0.001220,1406.699951,4290930,0.003249
2007-08-16,-0.009110,-0.003588,0.491625,0.681126,12845.780273,457150,0.018162,1411.27002,6509300,0.024566
2007-08-17,-0.009807,-0.005056,0.424372,0.544666,13079.080078,423940,0.003232,1445.939941,3570040,-0.000270
2007-08-18,-0.028083,-0.007319,-1.348759,-1.146316,NA,NA,NA,NA,NA,NA
2007-08-19,-0.012197,-0.008209,0.311124,1.066418,NA,NA,NA,NA,NA,NA
2007-08-20,-0.021939,-0.007329,-0.709800,-1.154511,13121.349609,231800,-0.002324,1445.550049,3321340,0.001086
2007-08-21,-0.011991,-0.004188,0.392008,1.141552,13090.860352,204000,0.011097,1447.119995,3012150,0.011713
2007-08-22,-0.023856,-0.004179,-0.984147,-1.121744,13236.129883,205530,-0.000019,1464.069946,3309120,-0.001072
2007-08-23,-0.014923,-0.005947,0.272846,-0.049269,13235.879883,198160,0.010803,1462.5,3084390,0.011535
2007-08-24,-0.004563,-0.004055,1.784729,1.094535,13378.870117,186060,-0.004241,1479.369995,2541400,-0.008504
2007-08-25,-0.019912,-0.004259,-0.442948,-0.437127,NA,NA,NA,NA,NA,NA
2007-08-26,-0.022531,-0.008024,-0.845001,0.331556,NA,NA,NA,NA,NA,NA
2007-08-27,-0.030809,-0.007767,-1.995411,-1.048839,13322.129883,152440,-0.021039,1466.790039,2406180,-0.023473
2007-08-28,-0.026008,-0.006264,-1.303686,-0.319217,13041.849609,230470,0.018973,1432.359985,3078090,0.021922
2007-08-29,-0.011674,-0.006564,0.723952,0.545923,13289.290039,227440,-0.003805,1463.76001,2824070,-0.004181
2007-08-30,-0.011149,-0.004874,0.801343,0.742921,13238.730469,193240,0.008990,1457.640015,2582960,0.011217
2007-08-31,-0.013979,-0.006047,0.380466,0.214953,13357.740234,234920,0.006822,1473.98999,2731610,0.010468
2007-09-01,-0.019575,-0.003255,-0.343915,-1.008742,NA,NA,NA,NA,NA,NA
2007-09-02,-0.016703,-0.004090,-0.078600,0.313972,NA,NA,NA,NA,NA,NA
2007-09-03,-0.015718,-0.002810,-0.042923,0.613195,NA,NA,NA,NA,NA,NA
2007-09-04,-0.015758,-0.010756,-0.029468,-0.581023,13448.860352,262260,-0.010662,1489.420044,2766600,-0.011501
2007-09-05,-0.006231,-0.004678,0.950907,1.126216,13305.469727,231850,0.004350,1472.290039,2991600,0.004252
2007-09-06,-0.018623,-0.009826,-0.368159,-1.111806,13363.349609,203600,-0.018706,1478.550049,2459590,-0.016908
2007-09-07,-0.009684,-0.006356,0.417237,1.091056,13113.379883,238300,0.001103,1453.550049,3191080,-0.001273
2007-09-08,-0.015642,-0.004092,-0.273995,0.377988,NA,NA,NA,NA,NA,NA
2007-09-09,-0.039478,-0.010313,-2.925233,-1.137673,NA,NA,NA,NA,NA,NA
2007-09-10,-0.010330,-0.003485,0.324362,0.247747,13127.849609,221760,0.013752,1451.699951,2835720,0.013632
